Model,Precision_F,Recall_F,F1_F,ROC-AUC,Log_Loss,Accuracy,Threshold
B3 — Linear SVM (hybrid),0.9459,0.6931,0.8,0.9891,0.047,0.9852,0.5
B4 — XGBoost (hybrid),0.8152,0.7426,0.7772,0.9783,0.0599,0.9818,0.5
A5 — Linear SVM (text),0.9565,0.6535,0.7765,0.9789,0.0542,0.984,0.5
A7 — LightGBM (text),0.8214,0.6832,0.7459,0.9735,0.0628,0.9802,0.5
B5 — LightGBM (hybrid),0.8193,0.6733,0.7391,0.9733,0.0602,0.9797,0.5
A6 — XGBoost (text),0.7931,0.6832,0.734,0.9745,0.0658,0.9789,0.5
B1 — Logistic Regression (hybrid),0.4886,0.8515,0.6209,0.9866,0.1257,0.9557,0.5
A4 — Random Forest (text),0.8113,0.4257,0.5584,0.9754,0.1025,0.9713,0.5
A2 — Logistic Regression (text),0.975,0.3861,0.5532,0.9684,0.0826,0.9734,0.5
B2 — Random Forest (hybrid),0.8235,0.4158,0.5526,0.977,0.1008,0.9713,0.5
A3 — Decision Tree (text),0.35,0.6931,0.4651,0.8212,0.7656,0.932,0.5
A1 — Complement NB (text),0.4643,0.2574,0.3312,0.8807,0.1696,0.9557,0.5
